connected_devices,upload_mbps,download_mbps,latency_ms,packet_loss_percent,bandwidth_usage_percent,throughput_mbps,hour,minute,day_of_week,congestion_level
12,6.54,20.18,18.61,0.0,19.51,24.09,14,24,5,Normal
91,38.45,87.9,192.69,2.26,100.0,129.19,14,25,5,High
42,18.48,48.36,66.26,0.82,51.42,68.06,14,26,5,Moderate
94,31.97,79.33,145.64,5.75,94.69,113.07,14,27,5,High
14,7.16,28.99,22.4,0.37,29.66,36.34,14,28,5,Normal
134,17.31,67.45,135.13,7.6,70.55,87.65,14,29,5,High
69,11.84,64.95,66.92,1.78,65.27,79.44,14,30,5,Moderate
28,5.32,12.48,27.89,0.25,15.92,18.69,14,31,5,Normal
28,6.03,58.13,48.62,2.97,52.86,64.87,14,32,5,Moderate
45,12.7,57.36,58.19,2.59,58.46,68.6,14,33,5,Moderate
20,3.16,9.32,27.41,0.4,7.31,9.83,14,34,5,Normal
9,8.12,21.1,16.88,0.63,25.3,29.93,14,35,5,Normal
42,11.33,63.25,70.95,1.27,62.85,74.93,14,36,5,Moderate
34,5.81,20.77,16.4,0.14,24.25,29.79,14,37,5,Normal
21,3.51,26.55,10.89,0.56,26.91,26.65,14,38,5,Normal
23,4.58,19.98,20.46,0.45,21.9,22.9,14,39,5,Normal
25,4.66,11.95,26.29,0.72,11.46,18.05,14,40,5,Normal
130,29.96,87.89,170.4,8.96,98.06,118.57,14,41,5,High
57,14.7,29.22,60.79,2.5,37.89,41.25,14,42,5,Moderate
6,5.16,38.44,17.63,0.38,34.28,47.66,14,43,5,Normal
128,20.17,72.4,143.26,10.37,78.04,96.18,14,44,5,High
90,41.45,77.48,130.04,5.57,100.0,115.38,14,45,5,High
28,2.22,41.34,26.75,0.32,33.01,45.18,14,46,5,Normal
30,16.93,69.62,57.42,2.58,70.97,85.02,14,47,5,Moderate
19,6.72,7.18,25.15,0.12,11.05,14.6,14,48,5,Normal
67,19.61,85.94,114.08,9.63,92.0,105.42,14,49,5,High
60,19.13,40.89,67.46,2.65,48.71,62.4,14,50,5,Moderate
71,12.14,50.47,38.64,1.76,52.65,65.29,14,51,5,Moderate
31,8.33,9.55,17.46,0.14,11.95,17.33,14,52,5,Normal
147,21.25,99.08,192.86,7.13,100.0,123.18,14,53,5,High
29,6.25,27.75,20.09,0.24,26.52,37.83,14,54,5,Normal
18,5.03,22.03,20.41,0.19,22.22,27.69,14,55,5,Normal
28,2.8,22.08,7.59,0.33,21.78,25.85,14,56,5,Normal
52,3.34,58.81,37.58,3.78,53.01,60.05,14,57,5,Moderate
18,3.73,22.64,21.37,0.33,19.88,25.47,14,58,5,Normal
132,15.51,85.21,159.96,13.57,85.37,103.42,14,59,5,High
74,6.39,28.73,77.24,1.29,28.94,33.73,15,0,5,Moderate
28,2.55,13.5,17.7,0.08,11.81,14.57,15,1,5,Normal
26,4.64,20.14,21.58,0.26,21.6,24.23,15,2,5,Normal
15,4.71,27.35,18.48,0.1,28.25,30.33,15,3,5,Normal
41,14.4,57.46,58.69,2.63,61.71,73.74,15,4,5,Moderate
26,19.93,50.79,61.43,2.57,59.43,71.29,15,5,5,Moderate
7,10.69,27.61,15.75,0.32,30.94,37.41,15,6,5,Normal
42,9.64,70.53,50.89,0.57,63.39,78.65,15,7,5,Moderate
24,4.27,44.4,8.0,0.52,43.15,47.21,15,8,5,Normal
54,9.84,48.62,55.33,2.68,47.72,58.0,15,9,5,Moderate
71,15.1,80.26,158.9,2.53,80.98,94.47,15,10,5,High
62,15.95,55.64,57.02,3.05,60.55,73.44,15,11,5,Moderate
33,10.8,61.01,37.84,2.38,62.02,72.9,15,12,5,Moderate
51,8.47,40.76,64.9,1.94,41.78,45.46,15,13,5,Moderate
9,7.7,14.44,28.95,0.0,18.54,21.48,15,14,5,Normal
16,4.01,36.25,15.14,0.69,35.0,39.51,15,15,5,Normal
32,1.68,20.63,11.67,0.51,17.95,22.21,15,16,5,Normal
19,4.56,16.01,19.81,0.55,15.48,15.32,15,17,5,Normal
27,15.02,50.81,62.01,1.73,54.37,64.78,15,18,5,Moderate
49,9.34,65.78,57.06,2.17,62.0,78.25,15,19,5,Moderate
67,23.55,96.78,137.62,6.18,100.0,119.83,15,20,5,High
19,5.47,23.85,11.25,0.06,24.08,33.61,15,21,5,Normal
28,14.41,69.17,66.67,1.88,69.31,82.94,15,22,5,Moderate
11,4.82,10.94,19.78,0.76,8.47,15.93,15,23,5,Normal
13,6.73,43.92,13.13,0.45,39.5,49.16,15,24,5,Normal
64,13.46,47.82,29.92,0.97,50.25,61.3,15,25,5,Moderate
74,29.0,67.42,103.57,11.11,78.17,92.99,15,26,5,High
50,21.32,57.01,62.73,2.51,63.22,78.36,15,27,5,Moderate
35,2.44,12.3,20.41,0.02,9.69,15.39,15,28,5,Normal
41,10.56,55.56,79.1,2.29,53.58,68.58,15,29,5,Moderate
25,4.17,14.15,16.43,0.12,12.44,15.89,15,30,5,Normal
76,16.61,53.92,166.96,3.0,62.36,67.79,15,31,5,High
78,16.21,55.85,67.94,0.63,56.82,71.6,15,32,5,Moderate
35,1.81,41.57,11.71,0.04,38.86,40.39,15,33,5,Normal
17,2.36,18.19,4.58,0.24,15.83,19.92,15,34,5,Normal
12,5.79,23.77,19.94,0.22,25.97,27.36,15,35,5,Normal
120,29.53,92.66,95.24,3.41,99.71,120.68,15,36,5,High
12,5.7,28.04,24.6,0.4,30.52,34.16,15,37,5,Normal
64,20.4,52.82,59.73,1.73,62.42,71.54,15,38,5,Moderate
80,12.75,66.84,77.62,0.23,66.25,79.48,15,39,5,Moderate
66,12.67,80.61,51.88,2.02,76.21,89.27,15,40,5,Moderate
33,3.74,29.87,13.03,0.63,29.04,36.29,15,41,5,Normal
91,18.37,79.13,110.18,4.39,79.18,96.26,15,42,5,High
34,5.44,9.49,19.41,0.73,13.03,13.59,15,43,5,Normal
71,16.72,48.95,69.63,2.29,54.01,65.16,15,44,5,Moderate
48,8.97,35.59,48.67,0.99,39.52,45.44,15,45,5,Moderate
31,7.83,55.4,53.43,1.38,51.33,64.43,15,46,5,Moderate
91,22.28,94.14,122.26,3.87,98.81,116.93,15,47,5,High
11,7.86,39.91,16.15,0.22,38.13,48.71,15,48,5,Normal
23,5.72,31.33,19.54,0.47,31.22,40.5,15,49,5,Normal
20,6.94,34.07,16.07,0.3,34.89,41.4,15,50,5,Normal
21,1.92,11.15,12.68,0.06,12.15,11.77,15,51,5,Normal
23,2.55,23.57,15.23,0.45,20.32,27.31,15,52,5,Normal
32,9.4,23.29,17.89,0.13,27.43,32.34,15,53,5,Normal
15,2.11,21.75,12.22,0.26,18.75,23.53,15,54,5,Normal
5,5.12,20.58,23.34,0.28,20.34,26.5,15,55,5,Normal
29,6.73,25.01,22.28,0.45,26.94,31.54,15,56,5,Normal
51,9.74,64.76,48.57,2.16,60.44,75.33,15,57,5,Moderate
44,1.92,50.87,54.71,1.86,46.83,52.48,15,58,5,Moderate
17,3.35,12.27,2.33,0.18,12.0,14.83,15,59,5,Normal
15,5.16,28.88,15.78,0.56,26.73,34.0,16,0,5,Normal
23,4.12,8.27,22.53,0.87,8.79,12.51,16,1,5,Normal
82,4.18,58.62,66.26,2.74,51.89,63.67,16,2,5,Moderate
20,5.34,26.52,13.33,0.76,28.1,31.16,16,3,5,Normal
31,7.94,32.21,18.18,0.44,32.17,41.27,16,4,5,Normal
8,3.38,26.38,14.35,0.58,23.39,31.71,16,5,5,Normal
7,6.47,16.84,12.0,0.39,19.24,24.79,16,6,5,Normal
10,4.39,30.08,16.72,0.06,27.19,36.51,16,7,5,Normal
83,7.74,51.14,48.86,3.24,47.05,59.28,16,8,5,Moderate
58,12.27,55.66,109.81,2.26,59.45,67.17,16,9,5,Moderate
33,22.97,53.13,56.26,0.44,66.33,75.31,16,10,5,Moderate
54,8.81,56.51,47.72,1.5,57.11,66.04,16,11,5,Moderate
66,6.34,57.47,38.08,2.48,52.73,61.12,16,12,5,Moderate
7,2.72,24.43,11.85,0.28,24.75,28.17,16,13,5,Normal
58,9.27,52.88,41.94,1.54,52.47,62.97,16,14,5,Moderate
29,3.43,5.2,25.23,0.32,11.9,5.8,16,15,5,Normal
29,5.8,25.07,15.79,0.12,27.73,35.12,16,16,5,Normal
32,15.88,61.86,42.95,3.15,65.35,76.06,16,17,5,Moderate
11,5.64,5.67,13.15,0.0,13.66,12.39,16,18,5,Normal
18,4.49,33.12,18.05,0.52,30.65,39.85,16,19,5,Normal
25,15.77,55.61,56.0,1.89,61.9,74.14,16,20,5,Moderate
118,36.03,87.73,131.47,11.06,100.0,124.85,16,21,5,High
123,26.93,73.73,158.9,11.88,85.69,99.32,16,22,5,High
6,6.41,31.3,12.23,0.65,32.62,40.17,16,23,5,Normal
13,4.84,23.81,21.84,0.31,21.78,26.95,16,24,5,Normal
26,14.11,42.98,57.6,2.19,46.32,58.09,16,25,5,Moderate
35,4.13,19.86,20.89,0.0,21.96,22.41,16,26,5,Normal
29,18.59,31.15,80.67,1.67,43.69,50.32,16,27,5,Moderate
35,6.74,14.79,13.97,0.18,18.62,19.93,16,28,5,Normal
28,4.63,31.26,10.37,0.03,33.6,36.68,16,29,5,Normal
27,6.53,18.9,16.56,0.21,24.01,23.52,16,30,5,Normal
36,16.99,21.53,51.04,1.63,30.67,41.9,16,31,5,Moderate
21,5.83,20.96,15.35,0.0,24.88,25.05,16,32,5,Normal
11,5.9,22.6,16.43,0.14,23.37,31.86,16,33,5,Normal
23,3.56,30.77,14.43,0.3,29.12,34.32,16,34,5,Normal
13,5.67,38.73,3.73,0.38,37.09,44.48,16,35,5,Normal
34,4.89,21.77,21.68,0.16,28.27,24.77,16,36,5,Normal
25,13.5,43.41,35.57,2.1,46.54,55.04,16,37,5,Moderate
34,6.14,25.78,7.37,0.76,29.65,29.53,16,38,5,Normal
43,15.89,64.26,45.18,2.14,66.85,79.2,16,39,5,Moderate
123,31.85,57.54,142.16,5.79,75.21,88.27,16,40,5,High
33,0.49,14.85,20.44,0.43,10.49,14.94,16,41,5,Normal
26,2.95,10.28,13.5,0.51,10.13,12.5,16,42,5,Normal
34,14.76,75.46,63.08,1.67,70.81,89.03,16,43,5,Moderate
32,4.64,25.59,17.18,0.48,24.01,27.12,16,44,5,Normal
12,8.54,12.91,23.25,0.0,17.61,18.43,16,45,5,Normal
139,37.61,66.11,155.94,8.19,87.88,102.34,16,46,5,High
132,22.02,77.43,166.39,2.93,83.24,102.65,16,47,5,High
25,8.38,39.09,40.57,2.23,38.64,47.61,16,48,5,Moderate
16,2.47,13.89,17.71,0.18,16.72,14.98,16,49,5,Normal
48,10.33,67.24,61.67,1.95,67.5,74.18,16,50,5,Moderate
71,16.73,50.38,46.72,1.85,58.4,65.38,16,51,5,Moderate
21,7.72,24.94,24.94,0.49,25.82,29.81,16,52,5,Normal
50,16.64,39.95,60.56,0.75,44.17,56.21,16,53,5,Moderate
20,6.06,8.76,20.27,0.78,11.5,16.51,16,54,5,Normal
20,2.2,28.54,12.23,0.38,25.55,26.43,16,55,5,Normal
8,2.84,22.81,20.55,0.3,21.39,28.46,16,56,5,Normal
27,4.51,15.85,9.93,0.4,21.9,21.54,16,57,5,Normal
35,3.85,19.86,19.27,0.4,21.93,23.6,16,58,5,Normal
39,17.93,44.6,66.08,1.99,56.96,61.9,16,59,5,Moderate
102,18.75,85.58,207.5,9.22,87.96,102.97,17,0,5,High
76,10.42,55.09,69.37,2.35,54.51,65.94,17,1,5,Moderate
50,13.3,54.75,48.38,3.52,57.56,65.95,17,2,5,Moderate
143,36.32,78.16,113.38,5.16,96.04,112.53,17,3,5,High
19,0.7,18.17,19.44,0.17,17.89,15.89,17,4,5,Normal
24,6.59,11.54,13.79,0.7,13.09,19.63,17,5,5,Normal
27,4.48,26.84,16.98,0.62,26.28,29.82,17,6,5,Normal
19,6.62,29.64,17.04,0.23,28.1,32.78,17,7,5,Normal
54,13.37,50.35,73.59,0.93,53.48,63.25,17,8,5,Moderate
11,7.86,16.37,23.45,0.37,17.19,27.82,17,9,5,Normal
8,3.17,24.93,19.8,0.02,25.53,29.48,17,10,5,Normal
5,1.29,24.18,12.2,0.44,15.84,25.52,17,11,5,Normal
29,3.36,23.09,23.97,0.13,22.76,25.08,17,12,5,Normal
139,35.37,103.37,157.59,8.16,100.0,140.32,17,13,5,High
17,6.29,19.55,13.6,0.38,22.53,25.38,17,14,5,Normal
32,0.1,22.94,19.07,0.46,19.0,23.94,17,15,5,Normal
15,5.88,24.49,24.27,0.39,20.43,28.57,17,16,5,Normal
27,6.52,18.18,15.88,0.5,23.16,25.0,17,17,5,Normal
39,15.53,57.61,80.52,0.46,62.65,72.22,17,18,5,Moderate
21,5.48,34.37,16.24,0.49,32.49,41.58,17,19,5,Normal
18,8.78,31.44,22.46,0.31,34.64,40.12,17,20,5,Normal
22,5.38,21.07,11.65,0.62,21.18,24.17,17,21,5,Normal
40,10.89,75.89,48.01,1.5,66.69,90.1,17,22,5,Moderate
40,26.66,39.97,66.86,1.0,55.65,66.54,17,23,5,Moderate
60,14.94,74.07,49.9,2.71,72.11,87.62,17,24,5,Moderate
37,5.17,30.88,44.55,0.94,27.65,36.68,17,25,5,Moderate
36,10.64,39.47,48.92,3.37,43.52,48.89,17,26,5,Moderate
19,4.92,21.85,12.99,0.29,22.64,25.23,17,27,5,Normal
21,6.98,14.44,20.56,0.19,17.69,21.72,17,28,5,Normal
25,5.14,15.06,14.27,0.06,16.12,16.95,17,29,5,Normal
28,10.04,16.44,23.31,0.63,25.78,28.07,17,30,5,Normal
64,0.2,42.56,51.31,2.5,36.18,43.06,17,31,5,Moderate
33,6.6,25.06,12.36,0.03,26.58,34.88,17,32,5,Normal
83,9.89,44.52,48.26,1.36,42.34,51.85,17,33,5,Moderate
71,31.75,74.88,155.26,7.66,88.62,105.15,17,34,5,High
17,6.43,24.89,17.44,0.57,27.69,31.34,17,35,5,Normal
142,25.88,60.25,170.39,8.44,71.08,86.97,17,36,5,High
58,15.76,42.32,64.4,1.5,46.63,60.3,17,37,5,Moderate
68,30.08,101.64,132.47,7.72,100.0,132.03,17,38,5,High
26,4.9,14.75,15.86,0.36,15.73,21.91,17,39,5,Normal
5,4.35,24.6,17.06,0.23,19.64,33.43,17,40,5,Normal
14,4.99,18.89,13.31,0.52,19.81,25.51,17,41,5,Normal
24,4.79,21.1,17.53,0.25,23.09,26.4,17,42,5,Normal
5,2.9,12.16,7.51,0.52,13.56,15.56,17,43,5,Normal
110,19.74,103.42,150.89,9.14,100.0,121.18,17,44,5,High
39,27.29,54.15,62.52,3.45,68.6,83.85,17,45,5,Moderate
26,2.0,30.48,27.61,0.35,26.39,27.18,17,46,5,Normal
31,4.53,27.23,22.29,0.09,26.32,29.15,17,47,5,Normal
24,7.45,19.21,12.9,0.38,19.11,26.8,17,48,5,Normal
32,5.02,11.45,29.89,0.44,7.51,13.02,17,49,5,Normal
83,31.99,80.85,114.17,7.88,93.13,114.53,17,50,5,High
19,5.05,18.59,21.26,0.3,18.78,25.59,17,51,5,Normal
31,3.79,37.82,14.59,0.28,33.9,41.74,17,52,5,Normal
38,12.8,51.79,60.62,0.0,53.53,68.35,17,53,5,Moderate
21,4.06,10.98,13.97,0.67,14.04,13.86,17,54,5,Normal
10,4.09,16.8,16.53,0.62,14.78,17.11,17,55,5,Normal
62,8.94,38.95,33.78,1.34,37.87,43.86,17,56,5,Moderate
39,15.02,66.41,60.81,1.1,65.57,78.35,17,57,5,Moderate
94,30.32,92.42,167.07,5.16,100.0,122.78,17,58,5,High
25,23.19,49.59,31.57,1.79,57.71,75.19,17,59,5,Moderate
28,4.55,17.77,8.42,0.45,19.62,23.65,18,0,5,Normal
74,13.43,41.56,44.51,1.7,46.01,59.3,18,1,5,Moderate
94,14.54,84.16,103.03,4.4,84.13,97.81,18,2,5,High
77,15.61,58.94,41.52,1.51,60.87,75.1,18,3,5,Moderate
145,21.56,87.3,152.91,10.98,93.07,108.51,18,4,5,High
27,5.66,58.71,41.47,1.25,53.47,62.67,18,5,5,Moderate
132,26.16,97.06,129.4,1.79,100.0,123.36,18,6,5,High
20,9.21,23.46,25.44,0.5,26.2,30.75,18,7,5,Normal
31,15.5,42.7,63.35,1.02,48.7,60.59,18,8,5,Moderate
5,4.9,8.17,19.69,0.54,12.54,12.39,18,9,5,Normal
58,5.92,36.22,74.84,3.08,38.11,42.79,18,10,5,Moderate
49,16.42,64.68,44.33,3.56,66.81,82.17,18,11,5,Moderate
69,12.3,85.08,169.49,4.62,80.11,98.13,18,12,5,High
112,18.7,78.83,139.36,11.72,81.98,100.3,18,13,5,High
12,7.26,28.75,13.02,0.28,32.26,32.37,18,14,5,Normal
55,13.4,76.78,26.12,2.55,73.82,88.37,18,15,5,Moderate
51,10.56,55.05,48.26,2.11,52.46,64.8,18,16,5,Moderate
17,5.68,19.34,16.93,0.0,15.37,27.0,18,17,5,Normal
5,5.3,17.04,21.37,0.58,19.79,20.91,18,18,5,Normal
22,1.58,23.57,29.4,0.0,21.73,25.98,18,19,5,Normal
60,17.14,46.07,34.59,1.94,51.31,62.07,18,20,5,Moderate
20,7.15,25.43,15.94,0.5,25.37,32.68,18,21,5,Normal
113,19.12,78.41,160.0,7.59,77.97,94.35,18,22,5,High
14,3.37,25.4,19.81,0.5,21.15,26.22,18,23,5,Normal
95,26.46,81.99,130.33,4.67,88.0,107.43,18,24,5,High
32,3.45,29.07,24.56,0.2,26.24,30.43,18,25,5,Normal
72,12.15,50.55,70.37,0.3,53.89,65.02,18,26,5,Moderate
19,4.89,32.02,24.08,0.0,29.22,38.34,18,27,5,Normal
84,13.03,38.51,45.64,2.34,38.69,47.92,18,28,5,Moderate
85,17.52,68.47,42.26,2.0,72.49,88.03,18,29,5,Moderate
128,18.89,95.14,146.09,6.96,94.24,113.48,18,30,5,High
35,13.17,52.87,42.27,2.72,54.6,64.09,18,31,5,Moderate
27,0.76,24.86,23.35,0.13,20.4,28.07,18,32,5,Normal
21,8.83,21.61,16.34,0.61,26.19,30.51,18,33,5,Normal
35,3.63,28.78,12.1,0.14,26.57,32.61,18,34,5,Normal
12,7.61,27.68,12.14,0.12,33.47,32.42,18,35,5,Normal
71,6.3,57.76,57.98,2.46,55.53,63.55,18,36,5,Moderate
80,8.26,79.74,42.67,1.21,75.42,91.22,18,37,5,Moderate
82,8.92,52.44,71.35,1.66,52.35,60.84,18,38,5,Moderate
76,22.36,79.74,145.37,8.99,86.25,105.39,18,39,5,High
63,9.46,49.6,67.81,2.15,48.56,56.22,18,40,5,Moderate
59,10.45,51.01,80.23,2.43,51.74,64.2,18,41,5,Moderate
17,5.02,14.51,18.08,0.0,15.63,18.45,18,42,5,Normal
13,5.92,25.31,14.51,0.42,20.29,30.87,18,43,5,Normal
40,4.59,64.95,59.69,3.43,57.95,68.02,18,44,5,Moderate
69,35.39,66.35,142.08,7.12,86.11,104.45,18,45,5,High
28,5.99,16.82,14.26,0.0,16.05,22.71,18,46,5,Normal
10,5.35,34.93,12.57,0.13,31.37,36.51,18,47,5,Normal
63,16.63,78.78,56.62,1.61,83.63,93.5,18,48,5,Moderate
18,9.23,20.49,26.36,0.0,23.43,28.39,18,49,5,Normal
10,10.99,21.52,11.54,0.36,27.09,33.74,18,50,5,Normal
66,16.69,83.32,148.73,8.28,84.48,100.66,18,51,5,High
71,13.36,63.24,40.42,1.46,64.34,76.16,18,52,5,Moderate
15,3.13,18.17,10.87,0.0,14.81,20.83,18,53,5,Normal
89,14.65,77.27,158.29,8.85,75.73,90.82,18,54,5,High
12,3.57,26.3,13.3,0.6,26.1,31.64,18,55,5,Normal
97,33.48,58.27,158.72,9.53,76.56,92.52,18,56,5,High
7,5.73,19.8,16.13,0.52,20.19,22.36,18,57,5,Normal
64,11.81,44.49,44.76,2.3,46.54,54.82,18,58,5,Moderate
16,3.6,28.79,22.73,0.51,27.28,34.5,18,59,5,Normal
20,7.11,20.16,19.95,0.08,25.57,27.07,19,0,5,Normal
150,34.35,102.51,172.48,3.86,100.0,137.84,19,1,5,High
13,6.05,23.91,23.42,0.42,23.0,31.02,19,2,5,Normal
12,1.99,21.16,5.98,0.49,21.03,21.64,19,3,5,Normal
14,6.18,17.05,14.03,0.0,18.41,23.47,19,4,5,Normal
44,22.88,46.72,35.11,2.34,59.81,67.61,19,5,5,Moderate
79,8.28,56.55,46.52,2.83,54.98,68.37,19,6,5,Moderate
88,26.37,71.23,229.96,7.26,79.86,100.53,19,7,5,High
5,5.79,26.96,13.4,0.1,29.68,34.73,19,8,5,Normal
5,8.61,34.1,18.81,0.22,37.01,45.41,19,9,5,Normal
20,5.98,13.73,16.94,0.29,17.95,21.86,19,10,5,Normal
75,3.34,67.96,61.8,2.63,58.11,68.25,19,11,5,Moderate
122,35.39,82.26,215.79,4.96,99.16,118.71,19,12,5,High
52,14.99,56.65,62.56,3.52,57.59,73.85,19,13,5,Moderate
27,14.57,62.71,74.97,2.17,64.65,77.68,19,14,5,Moderate
8,4.84,5.85,13.99,0.0,9.92,13.56,19,15,5,Normal
69,26.07,75.22,179.7,4.93,86.15,101.29,19,16,5,High
8,4.88,6.51,15.42,0.27,9.77,10.39,19,17,5,Normal
24,5.58,19.41,29.97,0.16,20.84,28.62,19,18,5,Normal
28,6.5,36.26,19.84,0.28,35.78,41.51,19,19,5,Normal
23,4.37,21.9,16.5,0.55,20.55,28.71,19,20,5,Normal
8,5.76,16.65,27.17,0.59,18.15,19.91,19,21,5,Normal
19,8.21,19.86,9.46,0.0,23.97,26.41,19,22,5,Normal
10,5.87,26.97,25.05,0.0,26.74,35.22,19,23,5,Normal
76,13.02,36.12,61.54,3.04,41.01,45.97,19,24,5,Moderate
15,6.01,13.32,22.66,0.62,17.96,18.26,19,25,5,Normal
6,6.22,8.85,23.75,0.24,14.45,12.66,19,26,5,Normal
148,22.75,67.61,143.6,8.79,73.93,89.1,19,27,5,High
42,24.44,64.08,35.39,2.28,75.8,86.34,19,28,5,Moderate
9,3.65,14.49,14.46,0.28,16.09,18.79,19,29,5,Normal
26,6.46,11.36,17.68,0.59,11.64,16.4,19,30,5,Normal
108,33.07,81.59,150.63,6.5,99.07,112.92,19,31,5,High
18,6.14,16.2,6.86,0.62,20.41,23.59,19,32,5,Normal
34,4.68,26.46,11.62,0.26,26.92,29.19,19,33,5,Normal
80,26.6,99.72,177.36,6.26,100.0,125.37,19,34,5,High
22,5.54,18.91,11.63,0.08,22.15,25.72,19,35,5,Normal
52,10.34,60.05,58.25,3.28,60.24,72.0,19,36,5,Moderate
68,9.48,74.91,43.21,1.35,65.61,83.88,19,37,5,Moderate
81,16.92,45.47,63.29,1.46,53.43,63.56,19,38,5,Moderate
5,4.01,15.85,4.65,0.03,16.7,18.38,19,39,5,Normal
8,2.55,17.89,19.03,0.41,17.06,21.25,19,40,5,Normal
27,3.76,9.67,15.56,0.2,14.04,13.58,19,41,5,Normal
27,6.36,14.1,21.84,0.1,16.73,22.15,19,42,5,Normal
115,27.19,65.08,152.59,6.43,75.45,92.19,19,43,5,High
35,5.33,21.65,20.14,0.01,18.07,25.2,19,44,5,Normal
67,6.94,58.78,59.99,2.33,52.36,66.92,19,45,5,Moderate
42,21.57,72.04,72.81,2.3,79.45,91.6,19,46,5,Moderate
71,15.8,50.1,48.51,1.84,55.41,66.23,19,47,5,Moderate
7,2.31,17.37,27.75,0.92,13.75,20.57,19,48,5,Normal
8,6.02,15.81,26.05,0.0,18.59,21.58,19,49,5,Normal
72,13.05,77.88,166.74,9.81,76.59,90.76,19,50,5,High
50,8.77,46.31,73.4,2.35,48.9,56.06,19,51,5,Moderate
32,13.79,45.38,49.54,2.7,47.32,58.79,19,52,5,Moderate
73,25.19,82.79,177.71,7.98,90.63,108.9,19,53,5,High
61,14.44,43.41,53.0,3.52,49.47,60.53,19,54,5,Moderate
32,4.82,25.03,10.43,0.25,25.34,30.05,19,55,5,Normal
47,9.54,63.06,47.75,3.31,59.71,74.14,19,56,5,Moderate
26,4.79,21.14,18.19,0.42,21.99,31.01,19,57,5,Normal
70,10.58,31.76,76.43,2.36,36.63,33.56,19,58,5,Moderate
107,10.03,105.02,198.18,0.07,95.85,116.92,19,59,5,High
31,7.3,25.57,20.18,0.45,23.67,32.05,20,0,5,Normal
12,8.5,27.53,24.78,0.0,28.34,33.0,20,1,5,Normal
7,5.79,22.35,9.42,0.49,22.35,29.34,20,2,5,Normal
128,10.35,79.93,133.37,7.02,75.99,90.62,20,3,5,High
21,5.57,19.89,24.01,0.28,20.84,26.09,20,4,5,Normal
25,6.05,16.83,14.67,0.4,18.45,22.93,20,5,5,Normal
29,1.71,17.94,20.3,0.36,15.31,21.34,20,6,5,Normal
7,4.24,37.16,12.75,0.05,37.57,37.94,20,7,5,Normal
19,3.21,26.81,28.87,0.21,27.89,29.48,20,8,5,Normal
16,9.4,27.27,19.49,0.2,26.87,35.45,20,9,5,Normal
32,6.2,31.16,18.12,0.05,33.15,37.81,20,10,5,Normal
20,5.33,25.45,13.22,0.52,26.42,24.52,20,11,5,Normal
26,4.52,9.93,17.95,0.18,12.99,16.52,20,12,5,Normal
35,6.59,23.22,18.1,1.09,25.23,30.12,20,13,5,Normal
26,7.29,17.65,9.99,0.0,23.53,25.01,20,14,5,Normal
69,11.32,52.51,30.12,2.41,49.63,65.15,20,15,5,Moderate
21,7.26,28.13,21.5,0.46,31.23,36.43,20,16,5,Normal
23,2.0,7.45,13.58,0.27,8.52,10.22,20,17,5,Normal
34,3.26,31.19,19.43,0.09,29.35,34.07,20,18,5,Normal
7,9.82,0.1,21.4,0.15,7.57,13.78,20,19,5,Normal
26,8.3,18.1,17.37,0.34,23.18,28.81,20,20,5,Normal
9,7.22,21.57,33.23,0.38,24.33,29.02,20,21,5,Normal
112,22.05,74.81,91.19,4.04,80.61,95.83,20,22,5,High
23,6.07,36.15,12.53,0.12,37.44,44.97,20,23,5,Normal
24,7.25,18.46,12.04,0.4,21.84,30.25,20,24,5,Normal
32,5.82,15.8,15.18,0.0,20.25,23.02,20,25,5,Normal
29,3.08,18.98,17.1,0.16,22.17,20.04,20,26,5,Normal
9,6.14,25.73,23.3,0.49,27.11,31.05,20,27,5,Normal
37,14.71,57.26,52.26,0.8,59.57,72.26,20,28,5,Moderate
64,15.54,29.32,72.48,4.28,36.3,44.07,20,29,5,Moderate
15,5.4,23.67,13.13,0.26,26.08,25.12,20,30,5,Normal
24,4.93,15.83,9.44,0.15,17.28,20.21,20,31,5,Normal
9,6.47,33.51,23.77,0.66,33.24,41.12,20,32,5,Normal
21,7.15,30.07,21.89,0.0,30.47,35.54,20,33,5,Normal
84,18.68,51.74,77.73,3.08,56.62,72.84,20,34,5,Moderate
22,3.78,25.86,8.11,0.23,25.63,32.3,20,35,5,Normal
7,9.9,23.42,19.07,0.31,29.98,30.75,20,36,5,Normal
138,19.47,75.97,189.84,9.9,78.81,97.71,20,37,5,High
27,6.57,21.52,27.32,0.39,25.2,32.04,20,38,5,Normal
9,6.66,20.12,28.24,0.8,22.37,29.15,20,39,5,Normal
53,21.37,58.91,64.51,2.41,66.25,80.39,20,40,5,Moderate
33,5.27,20.7,28.31,0.24,19.91,26.08,20,41,5,Normal
9,8.25,32.93,19.22,0.44,35.37,40.88,20,42,5,Normal
21,5.12,24.51,18.83,0.41,24.21,29.04,20,43,5,Normal
136,15.57,114.53,100.92,4.61,100.0,129.89,20,44,5,High
15,5.34,26.73,21.17,0.13,26.69,31.59,20,45,5,Normal
25,2.76,12.71,22.58,0.36,9.21,16.69,20,46,5,Normal
16,6.33,10.13,1.33,0.61,15.4,12.81,20,47,5,Normal
26,11.42,30.39,4.36,0.47,35.69,38.19,20,48,5,Normal
29,13.65,49.52,44.32,2.7,55.12,60.27,20,49,5,Moderate
